,x,y,z,class,outlier_count,isoutlier
0,1.630019187927246,2.346020460128784,0.0,1,1,False
1,0.869501531124115,1.6193386316299438,0.0,2,1,False
2,1.5427639484405518,1.8006329536437988,0.0,1,1,False
3,1.2192871570587158,0.255057156085968,0.0,0,1,False
4,1.7364685535430908,2.4209303855895996,0.0,2,3,True
5,1.7148573398590088,2.4462029933929443,0.0,1,1,False
6,1.7094066143035889,2.539900779724121,0.0,1,1,False
7,1.7313252687454224,2.1230266094207764,0.0,1,1,False
8,1.1483794450759888,2.178194522857666,0.0,1,1,False
9,1.8178718090057373,2.1676928997039795,0.0,2,2,True
10,1.2452995777130127,2.206794023513794,0.0,1,1,False
11,1.4969066381454468,2.3927531242370605,0.0,1,1,False
12,1.1496107578277588,2.2140347957611084,0.0,2,1,False
13,1.0656993389129639,1.7958240509033203,0.0,2,1,False
14,1.5079222917556763,1.995337724685669,0.0,1,1,False
15,1.2494776248931885,0.29027608036994934,0.0,0,1,False
16,1.375006914138794,0.326680988073349,0.0,0,1,False
17,0.913745105266571,0.7283533811569214,0.0,0,1,False
18,1.2337831258773804,0.18971270322799683,0.0,0,1,False
19,0.7543668746948242,1.7336610555648804,0.0,2,1,False
20,1.7024672031402588,2.462606906890869,0.0,1,1,False
21,2.045086622238159,2.6299476623535156,0.0,1,1,False
22,1.145622730255127,0.06661239266395569,0.0,0,1,False
23,1.5102015733718872,2.4809043407440186,0.0,1,1,False
24,1.109943151473999,2.2604291439056396,0.0,2,1,False
25,2.0603878498077393,2.4806859493255615,0.0,1,1,False
26,1.7343236207962036,2.339482307434082,0.0,1,1,False
27,1.6377218961715698,1.950080156326294,0.0,1,1,False
28,1.4677166938781738,2.3351025581359863,0.0,1,1,False
29,1.2936630249023438,0.3548160791397095,0.0,0,1,False
30,1.9912339448928833,2.4983067512512207,0.0,1,1,False
31,1.0735071897506714,0.6697171926498413,0.0,0,1,False
32,1.6594843864440918,2.487344264984131,0.0,1,1,False
33,1.7057913541793823,1.675055980682373,0.0,1,2,True
34,0.9367753863334656,0.8437410593032837,0.0,0,2,True
35,0.8748989701271057,1.8713709115982056,0.0,2,1,False
36,1.1140496730804443,1.9768098592758179,0.0,1,1,False
37,1.045494794845581,0.30792927742004395,0.0,0,1,False
38,2.1298563480377197,2.393547296524048,0.0,1,1,False
39,1.364304542541504,2.1485631465911865,0.0,1,1,False
40,1.1442558765411377,2.3380167484283447,0.0,1,1,False
41,2.1146154403686523,2.69207763671875,0.0,1,1,False
42,1.1535226106643677,2.1709227561950684,0.0,1,1,False
43,1.3320815563201904,0.5257059335708618,0.0,0,1,False
44,1.156890869140625,1.9978044033050537,0.0,2,1,False
45,1.670875906944275,2.2735280990600586,0.0,1,1,False
46,1.1454505920410156,1.926033616065979,0.0,1,1,False
47,0.9366207718849182,0.48563894629478455,0.0,0,1,False
48,0.8540087342262268,1.9726423025131226,0.0,2,1,False
49,1.29302978515625,0.37743985652923584,0.0,0,1,False
50,0.7199860215187073,0.7098437547683716,0.0,0,2,True
51,0.7680403590202332,1.9454028606414795,0.0,2,1,False
52,1.103162407875061,0.2760445177555084,0.0,0,1,False
53,0.9693709015846252,1.7462157011032104,0.0,2,1,False
54,2.1428000926971436,2.567333936691284,0.0,1,1,False
55,1.2174824476242065,2.0532751083374023,0.0,1,1,False
56,1.2639245986938477,0.028949201107025146,0.0,0,1,False
57,1.1800473928451538,0.12203791737556458,0.0,0,1,False
58,1.2971947193145752,2.0241100788116455,0.0,2,1,False
59,0.7616406083106995,1.9183803796768188,0.0,2,1,False
60,2.0914864540100098,2.457071542739868,0.0,1,1,False
61,1.0241011381149292,0.4195549488067627,0.0,0,1,False
62,1.1720147132873535,1.5413308143615723,0.0,2,1,False
63,0.732458770275116,1.658387541770935,0.0,2,1,False
64,1.1249407529830933,0.08955219388008118,0.0,0,1,False
65,0.9373238682746887,1.4939099550247192,0.0,2,1,False
66,0.9405116438865662,2.022696018218994,0.0,2,1,False
67,1.1833691596984863,0.03356584906578064,0.0,0,1,False
68,1.7128410339355469,2.2732551097869873,0.0,1,1,False
69,1.0195990800857544,1.7970057725906372,0.0,2,1,False
70,0.5403330326080322,1.619693636894226,0.0,2,1,False
71,0.821692168712616,1.5116018056869507,0.0,2,1,False
72,1.010177731513977,0.3688564598560333,0.0,0,1,False
73,1.3023613691329956,1.7625311613082886,0.0,1,2,True
